"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"102年/ 區域別總計","2,807,534","219,292","7,588","2,017","1,913","43,541","95,322","17,876","25,010","12,612","887","-","266","12,260","760,087","51,017","318,972","290,371","60,672","2,355","2,693","-","34,007","-","-","42,991","-","21,337","18,861","2,793","23,284","10,841","7,757","4,686","1,761,880","433,525"
"102年/ 新北市","468,100","28,925","546","586","204","5,844","10,902","3,716","4,285","2,393","424","-","25","-","107,686","7,548","48,455","38,445","6,429","-","475","-","6,334","-","-","6,533","-","3,209","2,767","557","10,122","5,704","1,654","2,764","314,834","43,939"
"102年/ 臺北市","381,463","35,529","449","248","348","4,487","8,108","4,231","3,975","1,904","229","-","28","11,522","85,293","6,645","32,799","33,088","8,378","2","116","-","4,265","-","-","6,995","-","3,094","3,006","895","4,639","1,799","1,644","1,196","249,007","27,421"
"102年/ 桃園市","236,918","25,019","982","367","156","4,284","14,547","1,353","1,874","1,361","73","-","21","1","67,731","3,466","28,957","28,314","4,135","24","333","-","2,502","-","-","3,464","-","1,850","1,431","183","2,086","873","1,074","139","138,618","46,581"
"102年/ 臺中市","320,952","21,610","396","110","168","2,274","12,421","1,615","2,686","1,902","2","-","31","5","95,208","3,314","42,267","38,169","7,069","1,041","137","-","3,211","-","-","4,196","-","2,091","1,948","157","730","14","646","70","199,208","75,889"
"102年/ 臺南市","189,556","17,129","191","137","119","4,994","6,996","1,380","1,825","1,310","4","-","17","156","69,726","5,757","28,857","26,557","5,436","11","148","-","2,960","-","-","3,060","-","1,479","1,387","194","1,018","682","241","95","98,623","37,596"
"102年/ 高雄市","274,381","21,812","892","159","215","6,351","7,061","2,741","2,822","1,482","22","-","47","20","95,061","6,883","40,385","35,758","6,968","26","416","-","4,625","-","-","4,825","-","2,477","2,156","192","1,906","819","919","168","150,777","30,926"
"102年/ 宜蘭縣","63,630","4,225","136","25","56","680","2,381","103","491","326","19","-","7","1","16,825","772","7,489","6,508","1,257","3","63","-","733","-","-","831","-","432","358","41","42","10","16","16","41,707","8,725"
"102年/ 新竹縣","46,831","4,268","100","39","39","845","2,042","303","510","379","2","-","7","2","16,089","861","6,724","6,355","1,837","9","136","-","167","-","-","954","-","490","423","41","238","111","101","26","25,282","9,949"
"102年/ 苗栗縣","60,217","7,499","124","29","30","1,996","4,057","195","654","405","1","-","8","-","16,526","1,312","6,297","5,941","2,094","1","61","-","820","-","-","1,144","-","602","500","42","182","3","159","20","34,866","17,174"
"102年/ 彰化縣","179,114","10,926","1,136","63","93","2,601","5,509","87","1,270","116","3","-","11","37","47,457","2,330","19,515","18,998","3,524","1,171","88","-","1,831","-","-","2,324","-","1,155","1,077","92","357","86","252","19","118,050","32,962"
"102年/ 南投縣","69,948","5,019","389","32","76","857","2,881","146","520","88","6","-","6","18","14,934","986","5,989","5,744","1,460","5","73","-","677","-","-","1,082","-","561","486","35","102","39","41","22","48,811","12,846"
"102年/ 雲林縣","91,023","6,703","454","28","68","1,102","3,818","170","676","85","1","-","12","289","23,302","3,708","8,369","8,040","2,105","-","91","-","989","-","-","1,286","-","672","548","66","141","55","78","8","59,591","16,796"
"102年/ 嘉義縣","64,554","4,580","318","26","35","1,158","2,400","124","458","52","1","-","8","-","14,935","760","6,356","5,884","1,167","4","73","-","691","-","-","873","-","462","376","35","270","39","203","28","43,896","16,760"
"102年/ 屏東縣","114,612","7,809","564","33","72","2,253","3,548","241","866","190","24","-","11","7","29,355","2,505","11,540","10,694","2,919","25","200","-","1,472","-","-","1,669","-","849","761","59","206","61","114","31","75,573","21,482"
"102年/ 臺東縣","39,283","4,435","40","59","43","950","2,162","348","485","269","74","-","2","3","10,521","699","3,984","3,870","1,377","1","42","-","548","-","-","864","-","431","371","62","564","431","110","23","22,899","6,658"
"102年/ 花蓮縣","49,312","3,015","161","17","52","434","1,387","444","397","107","2","-","11","3","11,565","1,389","4,362","3,943","1,214","22","99","-","536","-","-","713","-","355","325","33","114","76","19","19","33,905","6,204"
"102年/ 澎湖縣","13,141","786","19","2","8","167","514","34","41","1","-","-","-","-","2,615","236","1,029","943","229","4","11","-","163","-","-","122","-","75","39","8","17","3","13","1","9,601","2,608"
"102年/ 基隆市","42,569","2,980","417","13","18","696","1,284","77","469","-","-","-","6","-","9,149","333","3,932","3,814","601","-","57","-","412","-","-","846","-","428","388","30","68","-","57","11","29,526","6,073"
"102年/ 新竹市","48,470","3,424","55","24","75","689","1,482","479","387","224","-","-","5","4","12,842","671","6,141","4,305","1,295","1","29","-","400","-","-","633","-","325","276","32","385","32","339","14","31,186","1,652"
"102年/ 嘉義市","41,712","2,348","156","11","20","598","1,272","26","245","18","-","-","1","1","10,293","578","4,472","4,052","699","1","21","-","470","-","-","414","-","211","175","28","76","2","61","13","28,581","9,665"
"102年/ 金門縣","8,652","949","49","6","11","223","376","43","52","-","-","-","1","188","1,984","156","734","647","318","3","15","-","111","-","-","125","-","61","55","9","9","-","7","2","5,585","1,015"
"102年/ 連江縣","438","26","-","-","-","2","23","-","1","-","-","-","-","-","104","9","29","26","28","-","2","-","10","-","-","4","-","3","1","-","1","-","1","-","303","106"
"102年/ 基隆港","738","75","5","2","-","9","51","4","4","-","-","-","-","-","260","11","94","89","41","-","2","-","23","-","-","13","-","10","2","1","-","-","-","-","390","154"
"102年/ 臺中港","589","64","3","-","5","9","39","1","7","-","-","-","-","-","199","25","60","57","33","1","2","-","21","-","-","8","-","7","1","-","1","-","1","-","317","113"
"102年/ 高雄港","1,226","127","6","1","2","34","55","15","10","-","-","-","1","3","391","55","125","121","55","-","2","-","33","-","-","13","-","8","4","1","10","2","7","1","685","212"
"102年/ 花蓮港","105","10","-","-","-","4","6","-","-","-","-","-","-","-","36","8","11","9","4","-","1","-","3","-","-","-","-","-","-","-","-","-","-","-","59","19"
"102年 1月/ 區域別總計","250,735","21,053","880","247","211","3,849","8,876","1,798","2,586","1,155","91","-","33","1,327","61,918","4,605","25,150","22,889","5,612","238","279","-","3,145","-","-","4,374","-","2,169","1,957","248","2,245","998","802","445","161,145","45,618"
"102年 1月/ 新北市","40,917","2,886","53","87","22","519","1,061","389","447","254","53","-","1","-","8,320","681","3,588","2,873","586","-","55","-","537","-","-","697","-","338","316","43","874","507","173","194","28,140","5,046"
"102年 1月/ 臺北市","35,376","3,596","43","22","50","382","706","465","437","206","28","-","7","1,250","7,050","602","2,611","2,627","806","-","10","-","394","-","-","734","-","309","337","88","567","212","184","171","23,429","3,515"
"102年 1月/ 桃園市","21,587","2,485","98","51","13","404","1,421","149","199","143","3","-","4","-","5,512","328","2,277","2,224","394","3","32","-","254","-","-","356","-","190","149","17","236","89","131","16","12,998","4,880"
"102年 1月/ 臺中市","28,307","2,151","69","11","24","237","1,234","150","264","160","-","-","2","-","7,792","319","3,374","3,039","647","97","9","-","307","-","-","427","-","217","202","8","78","-","70","8","17,859","7,114"
"102年 1月/ 臺南市","17,335","1,655","17","18","14","488","661","116","191","134","2","-","2","12","5,794","552","2,294","2,101","537","-","15","-","295","-","-","320","-","154","142","24","104","83","18","3","9,462","3,978"
"102年 1月/ 高雄市","25,063","1,986","143","14","15","521","659","243","298","87","2","-","2","2","7,929","615","3,293","2,908","651","1","47","-","414","-","-","499","-","256","221","22","128","28","80","20","14,521","3,745"
"102年 1月/ 宜蘭縣","5,019","346","28","3","3","50","187","9","51","12","2","-","1","-","1,084","42","500","427","64","-","6","-","45","-","-","67","-","42","25","-","9","2","3","4","3,513","916"
"102年 1月/ 新竹縣","4,079","388","8","2","3","61","203","30","47","33","1","-","-","-","1,241","69","488","466","178","-","16","-","24","-","-","89","-","47","41","1","23","12","9","2","2,338","1,053"
"102年 1月/ 苗栗縣","5,009","647","24","3","4","157","331","16","75","36","-","-","1","-","1,270","111","465","435","177","1","6","-","75","-","-","124","-","65","57","2","8","-","7","1","2,960","1,462"
"102年 1月/ 彰化縣","15,564","983","119","4","17","239","457","6","122","12","-","-","3","4","4,007","186","1,598","1,560","338","127","9","-","189","-","-","225","-","114","104","7","29","2","26","1","10,320","3,230"
"102年 1月/ 南投縣","6,389","460","36","2","8","59","271","22","49","12","-","-","1","-","1,369","111","518","521","144","3","7","-","65","-","-","108","-","54","49","5","15","7","3","5","4,437","1,260"
"102年 1月/ 雲林縣","8,299","627","53","6","8","83","352","12","72","5","-","-","1","35","2,059","353","730","666","203","-","12","-","95","-","-","157","-","84","67","6","8","3","5","-","5,448","1,764"
"102年 1月/ 嘉義縣","5,441","437","42","5","1","101","213","15","53","4","-","-","3","-","1,145","62","484","441","100","-","7","-","51","-","-","91","-","51","35","5","34","8","21","5","3,734","1,489"
"102年 1月/ 屏東縣","10,093","659","56","5","3","190","289","17","90","9","-","-","-","-","2,378","232","917","817","265","-","24","-","123","-","-","157","-","80","74","3","15","3","10","2","6,884","2,153"
"102年 1月/ 臺東縣","3,265","398","2","7","3","91","202","41","33","18","-","-","-","1","819","53","302","295","123","-","6","-","40","-","-","42","-","21","19","2","43","26","15","2","1,963","708"
"102年 1月/ 花蓮縣","4,620","272","17","2","5","36","126","43","35","6","-","-","2","-","979","118","357","335","103","4","8","-","54","-","-","63","-","31","28","4","22","14","2","6","3,284","820"
"102年 1月/ 澎湖縣","1,011","71","2","-","1","15","49","-","3","1","-","-","-","-","189","23","65","64","20","2","-","-","15","-","-","14","-","8","5","1","1","-","1","-","736","226"
"102年 1月/ 基隆市","4,050","306","47","1","3","57","127","18","52","-","-","-","1","-","755","28","310","305","59","-","5","-","48","-","-","91","-","47","42","2","6","-","5","1","2,892","821"
"102年 1月/ 新竹市","4,604","359","6","-","11","82","148","47","41","22","-","-","2","-","1,101","54","512","379","110","-","3","-","43","-","-","66","-","35","25","6","37","2","31","4","3,041","276"
"102年 1月/ 嘉義市","3,598","235","16","3","2","50","138","2","23","1","-","-","-","-","877","45","376","322","71","-","2","-","61","-","-","39","-","21","16","2","6","-","6","-","2,441","945"
"102年 1月/ 金門縣","881","93","1","1","1","23","33","8","3","-","-","-","-","23","168","12","63","61","24","-","-","-","8","-","-","7","-","4","3","-","1","-","1","-","612","167"
"102年 1月/ 連江縣","30","-","-","-","-","-","-","-","-","-","-","-","-","-","9","1","3","2","3","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","20","9"
"102年 1月/ 基隆港","46","5","-","-","-","1","4","-","-","-","-","-","-","-","16","1","6","5","3","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","25","11"
"102年 1月/ 臺中港","28","1","-","-","-","-","1","-","-","-","-","-","-","-","11","1","4","3","2","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","16","7"
"102年 1月/ 高雄港","112","6","-","-","-","3","2","-","1","-","-","-","-","-","39","5","13","12","4","-","-","-","5","-","-","1","-","1","-","-","-","-","-","-","66","21"
